id,x_soma,y_soma,z_soma,x_cm,y_cm,z_cm,degree,presynaptic_degree,postsynaptic_degree,weighted_presynaptic_degree,weighted_postsynaptic_degree,pca_1_x,pca_1_y,pca_1_z,pca_1_evr,linear_span_pca_1,n_mesh_vertices
864691136065293464,612864.0,1022720.0,921400.0,620958.1718546218,996413.0473012754,911131.994977392,9,5,4,5,7,-0.6128583915605915,-0.6739331449788802,-0.4125756997117506,0.5851621901050653,273350.96759875887,286404
864691136065294488,1201088.0,633600.0,770640.0,1182083.0319434018,607453.32900872,769984.7736840509,20,2,19,2,22,0.3352375704052924,-0.8952583968104624,-0.2934760200239819,0.5411657434456708,363030.99256882176,379158
864691136065430424,895104.0,1029504.0,957760.0,887943.915993244,930692.8332124924,919326.1733614596,13,1,12,1,12,-0.079868378963087,-0.9513798914607648,-0.2974850318350697,0.933027761966469,556875.9582614236,274778
864691136065514392,960000.0,814336.0,931440.0,953532.8697251424,846641.9077516414,932285.8827635464,12,3,9,3,9,-0.2816847251715041,0.7982299524876226,-0.5324308955692385,0.666075033871801,370155.3643971691,264712
864691136065642648,922240.0,809856.0,735520.0,916772.5648788284,818631.7238989576,745174.0748327973,8,0,8,0,8,0.3831077278470468,0.2326063084963659,0.893936672316091,0.5029539837435699,380500.2145679989,366761
864691136065661336,954880.0,499712.0,859480.0,962136.9141637743,475073.4068304222,883479.2313159935,6,6,0,7,0,-0.0635598354006911,-0.4413480923267538,0.8950821240106253,0.518908846105292,252137.30099469263,358563
864691136065690008,997312.0,1014528.0,956080.0,983495.1198298144,959122.8852605596,943643.1500705328,20,9,11,10,14,-0.0095538752097033,-0.9355472933889948,-0.3530722097546103,0.7118322181915523,460148.83594178176,587031
864691136065730968,500032.0,734976.0,786560.0,521990.85113914974,730348.6127658092,774639.0287541453,68,52,17,57,22,0.8887452746556143,-0.1381891311927225,-0.4370761956427252,0.4371794171161593,357175.1583663516,670521
864691136065733528,471936.0,754688.0,756440.0,478270.36773939215,741743.0576129722,757349.4331589363,30,6,25,7,26,-0.2213993467268085,-0.9557662249036684,-0.1936317448207623,0.6901525117476895,453119.658197143,343627
864691136067293320,1110656.0,523968.0,864440.0,1106067.7184200585,523998.8234461701,867092.5057932044,32,3,31,4,45,-0.2570351643206569,-0.7845601856873132,0.5642678790582898,0.4679825867910303,339170.6688220532,399564
864691136077539597,595584.0,1128576.0,784720.0,600598.6339615635,1119464.5651810216,785532.5785294081,0,0,0,0,0,0.9966742994827152,0.0010890501367865,-0.0814810083420558,0.5298206985669912,115131.24437014888,146910
864691136084036204,795840.0,659264.0,917480.0,800079.307299783,659220.9772446514,926800.5978547288,61,22,43,28,87,-0.0819586666283119,-0.9856136095277452,-0.1478126844293122,0.6765853540761686,443966.5854895117,512732
864691136084037228,620352.0,682176.0,728240.0,612760.3668610909,668436.4225401089,731340.8450827475,45,10,37,10,42,-0.2726007908646501,-0.951342673016344,-0.1436521051641262,0.5193305470706772,378048.9250950383,484549
864691136084039788,782016.0,966016.0,915040.0,774617.351493469,883510.2121880187,908990.8883536848,42,28,17,31,21,-0.1055404622928807,-0.9766005144681976,-0.1873836864816591,0.8305982239728684,543313.870674742,420566
864691136084043628,553408.0,670144.0,844720.0,561726.0512851867,654481.1598863683,841312.6593230764,16,3,13,4,13,-0.2553649416481833,-0.9661249622112932,0.0373001872548585,0.7510453118332034,479141.419885006,210477
864691136084050028,862144.0,664064.0,833560.0,864615.3187134322,637592.8005481709,845141.4891633481,111,12,103,15,144,-0.3317731238435998,0.7519912939179073,-0.569592563300058,0.5249466231403499,280902.29144285934,446304
864691136084051820,820608.0,694272.0,831040.0,811773.5328089836,678488.2036471753,828578.279901242,72,15,58,15,88,0.9769989135719216,-0.2054863872363914,0.0569953291052947,0.4747936132909921,249704.6297905892,471109
864691136084054892,674048.0,656960.0,974400.0,683900.4787780835,660923.1268699908,985837.7120003252,51,31,21,33,45,-0.0257061847788194,-0.9795165753814404,0.1997159748671417,0.4699848908710522,380210.335872208,481827
864691136084055916,998080.0,628928.0,924400.0,1003955.833903229,614510.3744291366,930776.2974929868,14,2,13,3,19,0.734931733604717,-0.3206451069197077,0.597546703069488,0.4789640624813603,230905.5062884192,140610
864691136084061292,1144640.0,555328.0,713000.0,1139255.883358354,551991.9403828966,711419.6844550952,2,0,2,0,2,-0.0618308184153193,-0.088754711561956,0.9941325621211922,0.4735926527700983,159104.5726668139,194523
864691136084073580,1257088.0,907648.0,826200.0,1258822.8483567794,831138.2135356902,818799.9322215786,9,0,9,0,9,-0.0013887190182839,-0.960675140575394,-0.277671290809718,0.9070736541814592,562962.2518883937,379010
864691136084079468,583744.0,974272.0,724680.0,554551.4869157836,877185.3840842985,691218.4250770212,10,2,8,2,9,-0.2361757770677124,-0.9404742567785588,-0.2443955291393025,0.9026210403651536,721636.2381379466,452751
864691136084152684,628288.0,639680.0,804640.0,626800.9366631829,635086.583888262,809118.1235628787,43,6,37,6,56,-0.1061597170524919,-0.9864000230929812,-0.1254795159279021,0.4455616088879802,295964.13992247125,412226
864691136084222060,695616.0,677376.0,893640.0,709988.2195717836,678840.3329777078,896559.428999949,79,12,67,12,180,0.7024458054134227,0.7104790939560047,0.0423006797645419,0.6903914947819518,610917.2838156887,580750
864691136084258412,823872.0,891584.0,866360.0,817370.4446112689,884441.4700334324,869005.7717932607,27,13,14,14,17,-0.7975172967659265,-0.521007098390263,0.3041673302413124,0.4971072574765892,386110.092802638,524232
864691136084269420,684800.0,639552.0,881200.0,689022.4895021827,648520.9549411443,878885.1846032802,142,106,47,123,90,0.0510560418758302,-0.99241390136002,-0.1118388527094157,0.5609634675171601,489374.3001943906,728754
864691136084274284,552832.0,534464.0,875080.0,591564.872419397,574889.3561326589,884411.1175163549,123,113,13,139,19,0.3875958875397706,0.9171080178538892,0.0931789222430045,0.4654099446697974,323490.24953807646,1043690
864691136084287084,1199104.0,780672.0,771400.0,1201169.1819638396,749032.8828666658,766893.9226084903,4,1,3,1,3,-0.0847980511482059,-0.9874410004365122,-0.1333025175246374,0.653585328822131,537703.3337824576,246273
864691136084360812,1096384.0,648768.0,848080.0,1072238.454973146,619277.7325148392,867935.5391787287,42,26,20,32,23,-0.4388576740079089,-0.8176525750961484,0.3726234136537918,0.538165553758092,424942.8721950045,499870
864691136084363884,994688.0,652928.0,925360.0,996529.7152183228,634025.0881080148,930277.1320965448,28,4,24,4,40,-0.0621464191013836,-0.9978732590890989,-0.0196667584460572,0.5879816850619942,386251.1013558529,447539
