id,x_cm,y_cm,z_cm
864691134988391290,851516.4583361795,857733.2010193523,701929.2828073058
864691134988392314,897591.0747372244,641921.3894732987,778028.9322446991
864691134988397434,510856.5849716152,949042.59596211,762439.3989047218
864691134988422010,978096.2062441884,915978.3037731156,837945.1473693808
864691134988424314,940756.6576023736,935691.737577654,817236.0782812524
864691134988429178,1090279.326281158,568040.5842760663,775816.8878266733
864691134988433274,923788.4551454256,626830.6934940767,959198.661359146
864691134988447610,542404.0918253334,953228.9984835722,725592.8646189348
864691134988449402,877555.8281709518,651921.436634859,884000.0898168151
864691134988450426,440839.7679731576,958713.661733161,758883.1233915478
864691134988453242,318130.20194031723,481254.8987042295,855382.5006431822
864691134988456826,316516.2332319315,633722.4991280854,854489.9742255901
864691134988474234,585601.143903149,652028.8551969443,938283.0874259868
864691134988476538,1103368.9595337,587332.7245244774,841927.2537188637
864691134988477818,1069993.022191296,984243.893652872,876620.1506943369
864691134988481402,1171760.880862693,762640.0515002272,895506.3025469721
864691134988481658,1095851.2949949906,829199.5030242809,924671.4602639274
864691134988657018,383382.4962730338,692002.4035852911,851423.6467215901
864691134988747642,465766.93142891966,633702.2628040059,795603.0606548471
864691134988753786,565537.4941230747,818097.56709044,782645.1866470295
864691134988755578,766818.1973402079,883257.4502247396,883193.1894328229
864691134990344194,1113994.4065154912,954907.9415404218,978817.8944853636
864691135012353014,656470.0197921225,936115.9218623772,804771.8181529822
864691135012356598,555501.944652537,679605.1315659557,941181.7516788484
864691135012357622,1330502.5408567442,825620.7712794301,721614.9151292538
864691135012364278,958885.1197189495,645962.0886467546,749083.4328575897
864691135012370422,585893.03377891,982613.5834628256,875276.1686641996
864691135012385014,1067899.9364097286,579306.0884761642,922480.179748231
864691135012413942,1186278.581181391,767356.2249946462,778378.2238198237
864691135012418806,1247071.9207183302,786654.521339641,884243.6926498071
864691135012419318,994726.7610497652,635641.7510450034,798411.937095854
864691135012424182,1316528.603326807,797540.736438021,783018.1395449731
864691135012424438,1272678.8615675871,841866.8894345362,961880.6851418352
864691135012444150,607487.9238989817,951927.0049613124,944732.3202936024
864691135012456182,633229.9765507578,973649.4207424292,890970.8072842382
864691135012457206,436388.1211955366,977154.3703731695,784074.7229013232
864691135012463094,472385.2655138621,1036698.4695731848,797258.3196777259
864691135012492278,1139467.582657962,803190.7222187348,760855.6631434109
864691135012499190,1071028.2675926809,630610.1579066061,866146.7124267537
864691135012503542,462562.7555594616,676420.418469278,821958.9352800008
864691135012505078,394270.8823935313,683577.2518934332,709145.5217689041
864691135012505846,944716.1511859488,638222.6062037458,1007983.593527736
864691135012509942,1093894.0782032628,574741.0452668738,732812.1684098364
864691135012512758,974531.3098040344,569556.1515273299,948819.5329207558
864691135012513014,680091.8392621059,662422.0220317058,814357.8482400632
864691135012518134,696474.2524531428,631449.8319811592,860482.9961498367
864691135012519670,993801.5416750537,512601.28611040267,733383.5607266622
864691135012522742,588587.2528528754,933494.609537123,738304.4104471722
864691135012523510,537788.6035175768,915941.5962383746,779139.462491918
864691135012534774,596886.3648752655,802895.5981304406,864125.2572203869
864691135012539382,686503.2016799892,945230.116713896,961026.180132688
864691135012540150,680957.577717755,717233.0138149505,798879.6136746631
864691135012543222,680302.2978728997,881841.165778337,794195.7314656373
864691135012544502,896444.572623141,670941.4985449582,872262.0457418277
864691135012560374,1005741.9382576314,922412.3467684616,892644.789063012
864691135012561142,1015561.5296887272,895530.5649614217,890715.8187229125
864691135012561654,961689.749420146,673230.8782900622,885459.8197016321
864691135012605430,978470.6143705643,630782.0068201228,898647.5053402396
864691135012698614,720027.0633147422,932522.3990858356,920661.2123078714
864691135012699126,1004320.4612685188,828344.3780099123,854835.113086581
864691135012745462,802923.4803152496,862871.4960262415,888911.9669375167
864691135012753654,661973.1076149612,827327.5231142285,882608.853454164
864691135012756982,787443.9512215834,954906.2134069127,894819.3506337695
864691135012771318,513119.26288021024,684472.3800888289,757269.4831537707
864691135012773366,720924.1360724174,906503.0769573256,910770.1010182208
864691135012859030,564911.6746765187,675125.9886002867,899614.6092673885
864691135012859798,644128.0060357946,765831.5941315598,841661.2022711247
864691135012861078,730509.2999108217,784152.5940006633,746348.5784237146
864691135012862870,610808.8736063131,677059.2451506953,802285.793897181
864691135012864406,825586.5242405871,926225.427311967,811342.3259689144
864691135012872854,1317651.8537724458,598746.3511129047,842248.5458687926
864691135012873622,814336.4577757111,949590.4395237316,859418.009308627
864691135012875670,581199.1132699657,752037.2485401395,818661.8656996674
864691135012880022,1020386.717777383,618253.5031154598,927898.840453824
864691135012880278,976979.836775058,658097.8344412596,938494.8199559632
864691135012882070,1040242.1920341064,860269.3290059902,815412.7434277827
864691135012891542,1172557.472348635,818149.2500338636,945356.607873442
864691135012892310,1411192.3803664204,856048.4444474658,966140.5809386458
864691135012894102,1100706.6178591582,771436.6157018353,740910.1338746883
864691135012912022,578275.1796597865,780365.0455234902,762289.9569203213
864691135012912278,831227.7445853996,665531.9260636268,925691.9253684756
864691135012917654,475461.4209790708,707221.554315652,734382.8429857629
864691135012923030,801902.3137442156,938171.4675053431,948371.1789423578
864691135012924054,895726.873344057,686957.8529537033,894998.1818221972
864691135013103766,787954.7667944396,892328.2498841871,829720.0245091462
864691135013135510,879128.5238590196,727296.9138768798,893863.5269135875
864691135013176726,686691.135829837,799544.8244947891,897848.67289139
864691135041079876,968870.1488853754,1069774.3173956748,701709.7643821343
864691135044937730,1176723.9506707212,1084225.9152561978,770860.0239240939
864691135058530203,773523.8551230783,922045.3636169526,862132.6379424974
864691135058535835,771130.5048431053,1042069.3862998836,807026.271170945
864691135058536603,1008416.4063346984,862196.6045200133,754484.6624895231
864691135058539931,496264.7125706548,910088.335828354,784789.0320561153
864691135058540443,940808.8554525244,847101.0380065284,872276.2360005043
864691135058541723,921292.85287301,868164.9331735467,737145.5714186028
864691135058550171,903318.0577230926,645172.4896974684,822828.8479882153
864691135058551451,1031431.8204927656,644122.4504148206,924016.7013809748
864691135058563227,392400.2925212088,932782.196233454,846261.7097008793
864691135058567579,833710.2633237238,436445.1184343111,812331.4180624536
864691135058568859,933699.7403264482,625630.8640351068,800822.1687095709
864691135058569115,888956.0582660756,882354.978508419,876268.0315042431
864691135058570139,534484.0568026392,1063045.7916776612,918190.5680180236
864691135058576539,1228406.104526349,869571.8471063317,806193.1450444862
864691135058578331,819939.4636294601,691786.0132647146,808473.1014902431
864691135058578587,599049.715383646,619965.2162780946,810799.1829605248
864691135058579867,858100.8396760445,859358.7880605422,811375.878112486
864691135058586523,1053288.3612985257,860830.083420387,774966.3956168458
864691135058750107,888926.507415767,919983.8095056664,898789.7642233631
864691135064990788,1155002.3754053223,919526.5602999406,745835.3799040813
864691135064992324,792349.1430071375,665814.0293745226,995972.4928039853
864691135064997444,875404.6974298642,936604.4786251148,921454.8970531216
864691135065001284,671035.3300427152,990906.020353826,841298.1203552285
864691135065013828,365652.28056721954,866029.001150223,832086.2899915068
864691135065014340,324174.36500982486,968561.6308048056,830442.3041710404
864691135065016900,454137.18392095546,985706.8910350356,767066.0823998844
864691135065017412,787650.9833617425,1068042.4335388185,713221.3176981432
864691135065023556,1214100.581089231,907381.6589652934,864767.876609192
864691135065025348,1289289.2795193717,584912.8944370819,947795.8844805396
864691135065050436,919133.040340362,627453.3502887521,848294.489575225
864691135065097796,1289304.773493913,690921.0485990347,787566.5251252018
864691135065193284,776917.3206225252,803442.0938002376,711345.9225272228
864691135081636343,1336032.1883648606,869667.6415972892,890804.4512912575
864691135081640183,726176.8389621398,638262.5006837023,919891.0182350028
864691135081641719,627458.7428830959,656409.3073724795,889791.8393454211
864691135081643511,825147.377912674,860498.1304577474,964144.3570097524
864691135081645303,924057.2810990592,682676.1606404755,926989.2814575272
864691135081646327,1033078.3555773752,580813.2154177583,897657.5036553039
864691135081648631,1046854.1188167614,706489.1591702343,781696.6453103445
864691135081661175,736463.3643678614,890693.6408228033,831190.7088973295
864691135081663991,1255832.5861211217,610534.8206341596,852883.9205225861
864691135081668855,1199448.817467951,616014.4645567122,801492.8712810958
864691135081669367,1254050.8945253617,863293.4155293363,710109.5045014007
