id,x_cm,y_cm,z_cm
294445804,72268.36670703019,146731.7121102277,88362.3150631406
294445931,51535.96013261424,146758.64102566417,70050.93831313752
294450004,122038.1805940493,207832.7013991993,77809.5408894227
294756576,57173.33094668453,152149.95876851515,60053.56885591413
294760680,52743.13983421727,147860.70147901357,72403.40941274505
294760699,70074.67714259878,175805.51480254167,61335.01518735914
294760723,57484.612660380575,172161.84834033312,63974.78072102856
294760837,64669.50453758105,147251.44505493683,74743.47693809126
294773987,62069.77981272023,167041.8586147633,56938.78580873621
294774719,46829.55668241614,148422.60120366752,69835.43522303399
294774792,82368.2477952574,170468.38866128185,51915.70612235793
294778999,66020.6739573599,158163.86573505207,71434.10041191899
294782432,86675.98020180898,181389.8108800247,60273.88649910608
294783216,105864.84521420106,156089.9804217759,50777.95359116286
294783423,96972.06557534644,166319.02748305874,47222.61021952741
294786630,66297.86081223552,154832.36148385357,62634.39577096004
294786785,101245.07716929325,164641.6448108184,42287.5040816301
294787849,101694.32987470448,167325.82083464396,66641.23108774815
294791509,153025.6818463998,163558.77145359607,117442.92604248624
294791642,119360.04157517474,171196.10487861076,42315.2048632986
294792184,119866.96381665312,203539.87201616573,146896.48046283005
294792311,96274.156741196,161692.0076321271,45576.10913130144
294792344,140667.85674150108,192922.11805678392,94262.22919849207
294795822,121415.42839335388,172417.62853383765,41259.10927082959
294799968,117188.91312617448,170175.90295940256,40768.680825181786
294800293,163584.79238793932,175832.3940012182,98339.34906259408
295063181,117316.83252948782,158114.51920076966,63966.90850075949
295103172,69680.9716204557,180626.92001122868,62741.00628971544
295106899,72392.71248616811,173888.21040797906,64038.1117651951
295107514,77871.52800255032,142764.70714701357,68573.33010576715
295111672,69885.61456526536,143497.55618425366,70541.02121704888
295111734,83916.10342550867,158803.3748625147,49650.065842426615
295115222,95549.91036844856,161143.83159606587,41990.75885599878
295115429,75801.86513081448,166449.5266442109,57736.04345702164
295115628,80190.14098782396,167383.8297623063,59048.33406783234
295115794,77346.99643159354,154055.3585796988,54656.622255825794
295116165,94236.92918212916,161415.14748774964,43215.85056019217
295119694,90081.07850054884,157068.9835902801,43079.61595062734
295120601,69735.75734757415,155416.53680885435,64063.55663022121
295120620,94315.31717956548,161008.63178134203,43330.07787087822
295124412,76153.67211842729,181077.94649796,64712.564179073925
295127956,74977.12713593403,154999.13361128222,56592.26504665282
295132077,120206.49891916664,171121.0936605765,42729.84512235525
295132487,118289.30556637452,169473.65426227063,40944.88192627528
295132551,123741.71095667696,171977.17690597643,40537.82713581763
295132845,133472.27404888783,192924.3631642742,86383.87291737515
295133015,129403.06245874254,173576.51115604537,45560.65182770517
295133452,154015.76264396112,170602.46133469752,78905.28328393892
295133743,126383.01317260176,169871.78515613743,47398.78386814129
295133778,131053.16012455634,171287.04225753082,49123.75082235058
295133927,118262.6849522183,168610.25673700942,41300.39818654268
295136450,167616.10750248915,169442.37250124212,100411.02375695798
295136668,116779.83328665375,167418.11272427952,41181.57227384503
295136778,158286.94321212402,173530.0633834163,99103.71242017164
295136965,160697.85465888798,164487.37990788097,128325.2954774192
295137019,82192.0063174921,182453.86563963225,67950.94402122978
295137392,110769.27679318024,167217.30538470054,43508.10876812826
295137515,133255.2061953866,172353.7489344813,48205.741954992205
295141618,141212.15879787356,169028.8905180132,72583.16159415302
295434457,59649.16068187196,180487.6547383926,48987.89932213751
295439322,71540.9250129435,161797.9224999347,64830.9438630147
295443136,61073.796267456,170863.22221698947,72380.98439635008
295443724,66689.73341462393,153430.54217266396,57375.53749554231
295456248,99397.38830883136,159321.85137336465,42632.105825471255
295456869,71379.78294493142,164213.87477233287,70010.80028520687
295461302,97556.66327542569,163320.0561679183,43085.19056624491
295461534,75344.11974278164,179042.4401390865,59432.11058046904
295461570,70840.75627005089,147034.51171017298,84408.79479980461
295461707,70037.46872003742,163440.59560558456,66135.0719736731
295461871,52385.14759643484,156501.1966159959,76854.6501256573
295466276,72897.20759462984,171962.4294696113,61737.04594645714
295470623,64307.41337045795,171615.7365347549,70180.65574427425
